TIME TABLE FOR Fall 2020 SEMESTER [Computer Science Department] <V1.1>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,,Computer Networks (BCS-5E),,,,,,,,,Computer Networks (BCS-5F),,,,,,,,,Com. Org. & Assembly Lang. (BCS-3A),,,,,,,,,Com. Org. & Assembly Lang. (BCS-3B),,,,,,,,,Applied Physics (BCS-1E),,,,,,,,,Applied Physics (BCS-1C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,,Discrete Structures (BCS-3F),,,,,,,,,Obj. Oriented Programming (BCS-3J),,,,,,,,,Obj. Oriented Programming (BCS-3K),,,,,,,,,Com. Org. & Assembly Lang. (BCS-3C),,,,,,,,,Calculus and Ana. Geometry (BCS-1C),,,,,,,,,Calculus and Ana. Geometry (BCS-1E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,,Linear Algebra (BCS-3J),,,,,,,,,Linear Algebra (BCS-3F),,,,,,,,,English Composition and Comprehension (BCS-1C1),,,,,,,,,,,,,,,,,,English Composition and Comprehension (BCS-1D1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (BCS-1C2),,,,,,,,,,,,,,,,,,English Composition and Comprehension (BCS-1D2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,,Finance and Accounting (BCS-3H),,,,,,,,,Islamic & Religious Studies (BSE-1B),,,,,,,,,Islamic & Religious Studies (BSE-1A),,,,,,,,,,,,,,,,,,Pakistan Studies (BCS-1B),,,,,,,,,Pakistan Studies (BCS-1A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,,Differential Equations (Cal II) (BCS-3G),,,,,,,,,Differential Equations (Cal II) (BCS-3H),,,,,,,,,Discrete Structures (BCS-3G),,,,,,,,,Discrete Structures (BCS-3H),,,,,,,,,Applied Physics (BDS-1A),,,,,,,,,Calculus and Ana. Geometry (BCS-1B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,,,,,Pakistan Studies (BCS-1E),,,,,,,,,Pakistan Studies (BCS-1F),,,,,,,,,Linear Algebra (BCS-3D),,,,,,,,,,,,,,,,,,Calculus and Ana. Geometry (BCS-1H),,,,,,,,,Calculus and Ana. Geometry (BDS-1A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,,,,,English Comp Lab (BCS-1F1),,,,,,,,,English Comp Lab (BCS-1B1),,,,,,,,,English Comp Lab (BCS-1D1),,,,,,,,,English Comp Lab (BCS-1A1),,,,,,,,,English Comp Lab (BSE-1A1),,,,,,,,,English Comp Lab (BSE-1B1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,,,,,English Comp Lab (BCS-1F2),,,,,,,,,English Comp Lab (BCS-1B2),,,,,,,,,English Comp Lab (BCS-1D2),,,,,,,,,English Comp Lab (BCS-1A2),,,,,,,,,English Comp Lab (BSE-1A2),,,,,,,,,English Comp Lab (BSE-1B2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,,"Comp. Organization & Assembly Lang. Lab (BCS-3A1, BCS-3A2)",,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (BCS-1G),,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (BCS-1F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
